@relation train

@attribute eyeball_diff numeric
@attribute eyewhite_diff numeric
@attribute upper_diff numeric
@attribute noselip_bright numeric
@attribute noselip_loc numeric
@attribute lowerc_diff numeric
@attribute lowerx_diff numeric
@attribute lowery_diff numeric
@attribute lowerz_diff numeric
@attribute class {0,1}

@data
2,17,641,137,3,56,21.3125,2,3.5625,0
4,3,1698,229,2,17,10.0625,5.1875,18.020833,0
1,3,0,50,0,3,0.25,0.3125,2.520833,0
33,96,2763,90,1,22,15.4375,16.625,40.291667,0
13,1,1184,235,3,2,1.5,0.3125,2.375,0
49,16,2767,233,2,2,3.6875,2.3125,14.354167,0
13,10,2311,232,1,24,4.75,1.125,0.9375,0
1,1,150,51,2,7,1.5,1.625,4.479167,0
1,10,526,228,3,48,15.8125,3.1875,31.5625,0
1,38,1931,162,2,72,14.5,18.1875,40.333333,0
10,124,1634,156,0,114,40.125,31.625,72.729167,0
3,62,2905,199,4,108,47.1875,56.5,105.645833,0
5,11,524,61,3,8,0.9375,5.6875,3.666667,0
19,36,2556,126,1,2,8.125,12.75,29.0625,0
31,27,2172,236,4,33,13.375,14.875,71.4375,0
8,21,515,145,0,19,0.6875,3.9375,1.979167,0
12,13,1347,236,1,10,24.1875,16.3125,52.916667,0
17,29,1286,181,3,29,8.875,5.625,23.208333,0
4,48,1837,49,2,62,28.625,16.25,53.625,0
1,2,217,142,0,5,1.5625,0.625,2.0625,0
14,3,428,176,4,7,4.5,4.5,7.833333,0
13,101,1391,88,0,26,15.125,38.3125,77.520833,0
3,27,6538,246,2,183,91.6875,42.4375,251.604167,0
30,5,780,122,2,31,20.625,0.5625,25.833333,0
3,2,1545,125,2,43,3.9375,16.75,56.958333,0
1,15,478,158,2,17,15.75,0.5,33.104167,0
20,27,1384,166,2,54,44.5625,21.5,139.1875,0
24,3,2560,186,2,31,2.125,13.5,18.3125,0
22,65,5811,180,3,91,38.1875,40.3125,94.416667,0
0,13,39,177,2,7,17.0625,0,40.4375,0
3,2,21,123,2,41,7.25,0.6875,11.916667,0
6,4,586,131,3,13,2.1875,2.9375,3.166667,0
15,16,1178,90,2,36,1.375,3.5,10.645833,0
3,18,1646,136,2,33,13.6875,14.625,21.895833,0
7,34,470,194,3,19,9.3125,16.125,57.645833,0
21,49,96,125,0,9,3.5,4.5625,17.5625,0
6,12,915,105,2,44,18.6875,17.75,52,0
11,43,286,178,3,23,3.625,7.1875,3.375,0
7,9,321,108,3,59,36.8125,15.125,65.5,0
7,36,2392,123,0,51,4.0625,2.9375,34.583333,0
9,31,3420,171,2,24,16.75,9.875,66.166667,0
24,20,1924,125,4,46,19.625,5.4375,0.333333,0
8,14,667,84,4,15,3.75,5.0625,1.583333,0
5,17,361,208,4,29,39,34.9375,118.75,0
3,25,1072,161,2,19,30.375,28.0625,89.395833,0
7,2,1098,93,1,1,0.0625,0.0625,0.833333,0
2,6,3236,186,4,127,35.3125,31.8125,63.041667,0
6,30,1845,132,3,14,3.1875,17.375,34.416667,0
58,25,3456,187,1,94,11,13.1875,33.4375,0
8,67,734,94,1,25,11.625,27.375,3.791667,0
0,7,506,77,1,25,4.75,10.6875,20.395833,0
0,7,299,162,2,7,1.6875,3.8125,8.958333,0
11,15,1156,97,3,22,5.3125,9.0625,13.166667,0
2,6,741,193,2,2,0.875,8,18.208333,0
3,12,10,118,2,10,6.4375,3.5625,13.270833,0
21,1,710,99,3,0,4.0625,4.875,12.854167,0
4,26,151,147,4,88,23.5625,51.0625,125.083333,0
8,4,1010,110,2,15,7,6.4375,9.416667,0
16,24,177,142,2,3,2.375,8.375,15.9375,0
2,27,1503,100,0,24,3.125,0.8125,0.291667,0
6,10,1005,210,4,15,17.5625,15.4375,39.6875,0
2,9,105,92,2,2,1.625,1.1875,3.229167,0
2,58,1712,110,2,9,23.8125,11.125,44.729167,0
13,3,623,202,0,21,2.125,5.3125,5,0
14,13,1717,136,1,22,10.8125,9.6875,24.520833,0
4,2,374,207,2,55,6.625,5.375,17.395833,0
2,24,884,104,4,23,13.1875,7.8125,18.354167,0
29,4,903,135,3,19,22.4375,17.125,46.4375,0
1,2,829,224,1,1,1.25,1.3125,14.083333,0
3,10,128,192,2,4,1.5,6.1875,14.895833,0
8,47,1183,96,1,2,1.75,4.4375,14.125,0
1,8,29,174,4,4,2.0625,1.0625,9.541667,0
4,24,619,127,3,0,3.4375,3.25,7.895833,0
9,17,3974,140,2,90,23.5,35.1875,60.520833,0
6,19,236,134,0,2,0.3125,6.75,13.0625,0
1,2,144,227,2,5,5.625,0.6875,7.041667,0
9,13,1361,105,0,41,7,7.375,9.020833,0
4,1,1238,242,2,1,8.0625,3.375,27.5,0
7,43,950,160,2,25,15.25,4.8125,12.791667,0
7,1,2807,255,1,1,0.5,7.6875,1.3125,0
7,11,1268,105,0,39,5.0625,7.25,4.8125,0
4,34,1109,192,4,82,5,1.375,5.729167,0
9,8,1598,97,4,17,16.75,15.125,37.6875,0
6,6,151,144,3,10,3.9375,10.9375,44.333333,0
110,7,4306,200,2,54,2.875,1.1875,27.1875,0
1,8,465,232,2,10,1.875,6.0625,19.333333,0
4,3,13,189,1,74,25.75,6.3125,59.8125,0
1,5,77,104,4,4,0.125,1.6875,1.5,0
1,5,1079,107,4,2,0.6875,1.125,1.375,0
2,0,35,127,3,29,9.625,8.25,17.708333,0
1,44,690,97,0,4,2.4375,3.3125,12.083333,0
8,10,638,230,0,14,20.8125,9.5,33.895833,0
7,5,1113,109,0,6,5.25,4.5625,10.270833,0
30,2,211,170,1,23,17.8125,12,24.895833,0
18,69,4496,115,1,10,18.75,13.6875,41.979167,0
32,3,3540,160,1,41,29.9375,21.375,52.833333,0
11,29,1692,103,0,83,16.375,26.5,48.6875,0
7,2,1204,190,4,40,5.5625,21.75,12.25,0
1,7,141,172,0,27,6.625,1.8125,20.25,0
26,5,815,212,0,109,4.4375,1,16.479167,0
