@relation balance-scale-2

@attribute cf numeric
@attribute Class {B,R,L}

@data
0,B
0.5,R
0.666667,R
0.75,R
0.8,R
1,R
1.5,R
1.666667,R
1.75,R
1.8,R
2,R
2.5,R
2.666667,R
2.75,R
2.8,R
3,R
3.5,R
3.666667,R
3.75,R
3.8,R
4,R
4.5,R
4.666667,R
4.75,R
4.8,R
-1,L
0,B
0.333333,R
0.5,R
0.6,R
0,B
1,R
1.333333,R
1.5,R
1.6,R
1,R
2,R
2.333333,R
2.5,R
2.6,R
2,R
3,R
3.333333,R
3.5,R
3.6,R
3,R
4,R
4.333333,R
4.5,R
4.6,R
-2,L
-0.5,L
0,B
0.25,R
0.4,R
-1,L
0.5,R
1,R
1.25,R
1.4,R
0,B
1.5,R
2,R
2.25,R
2.4,R
1,R
2.5,R
3,R
3.25,R
3.4,R
2,R
3.5,R
4,R
4.25,R
4.4,R
-3,L
-1,L
-0.333333,L
0,B
0.2,R
-2,L
0,B
0.666667,R
1,R
1.2,R
-1,L
1,R
1.666667,R
2,R
2.2,R
0,B
2,R
2.666667,R
3,R
3.2,R
1,R
3,R
3.666667,R
4,R
4.2,R
-4,L
-1.5,L
-0.666667,L
-0.25,L
0,B
-3,L
-0.5,L
0.333333,R
0.75,R
1,R
-2,L
0.5,R
1.333333,R
1.75,R
2,R
-1,L
1.5,R
2.333333,R
2.75,R
3,R
0,B
2.5,R
3.333333,R
3.75,R
4,R
-1,L
0,B
0.333333,R
0.5,R
0.6,R
0,B
1,R
1.333333,R
1.5,R
1.6,R
1,R
2,R
2.333333,R
2.5,R
2.6,R
2,R
3,R
3.333333,R
3.5,R
3.6,R
3,R
4,R
4.333333,R
4.5,R
4.6,R
-3,L
-1,L
-0.333333,L
0,B
0.2,R
-2,L
0,B
0.666667,R
1,R
1.2,R
-1,L
1,R
1.666667,R
2,R
2.2,R
0,B
2,R
2.666667,R
3,R
3.2,R
1,R
3,R
3.666667,R
4,R
4.2,R
-5,L
-2,L
-1,L
-0.5,L
-0.2,L
-4,L
-1,L
0,B
0.5,R
0.8,R
-3,L
0,B
1,R
1.5,R
1.8,R
-2,L
1,R
2,R
2.5,R
2.8,R
-1,L
2,R
3,R
3.5,R
3.8,R
-7,L
-3,L
-1.666667,L
-1,L
-0.6,L
-6,L
-2,L
-0.666667,L
0,B
0.4,R
-5,L
-1,L
0.333333,R
1,R
1.4,R
-4,L
0,B
1.333333,R
2,R
2.4,R
-3,L
1,R
2.333333,R
3,R
3.4,R
-9,L
-4,L
-2.333333,L
-1.5,L
-1,L
-8,L
-3,L
-1.333333,L
-0.5,L
0,B
-7,L
-2,L
-0.333333,L
0.5,R
1,R
-6,L
-1,L
0.666667,R
1.5,R
2,R
-5,L
0,B
1.666667,R
2.5,R
3,R
-2,L
-0.5,L
0,B
0.25,R
0.4,R
-1,L
0.5,R
1,R
1.25,R
1.4,R
0,B
1.5,R
2,R
2.25,R
2.4,R
1,R
2.5,R
3,R
3.25,R
3.4,R
2,R
3.5,R
4,R
4.25,R
4.4,R
-5,L
-2,L
-1,L
-0.5,L
-0.2,L
-4,L
-1,L
0,B
0.5,R
0.8,R
-3,L
0,B
1,R
1.5,R
1.8,R
-2,L
1,R
2,R
2.5,R
2.8,R
-1,L
2,R
3,R
3.5,R
3.8,R
-8,L
-3.5,L
-2,L
-1.25,L
-0.8,L
-7,L
-2.5,L
-1,L
-0.25,L
0.2,R
-6,L
-1.5,L
0,B
0.75,R
1.2,R
-5,L
-0.5,L
1,R
1.75,R
2.2,R
-4,L
0.5,R
2,R
2.75,R
3.2,R
-11,L
-5,L
-3,L
-2,L
-1.4,L
-10,L
-4,L
-2,L
-1,L
-0.4,L
-9,L
-3,L
-1,L
0,B
0.6,R
-8,L
-2,L
0,B
1,R
1.6,R
-7,L
-1,L
1,R
2,R
2.6,R
-14,L
-6.5,L
-4,L
-2.75,L
-2,L
-13,L
-5.5,L
-3,L
-1.75,L
-1,L
-12,L
-4.5,L
-2,L
-0.75,L
0,B
-11,L
-3.5,L
-1,L
0.25,R
1,R
-10,L
-2.5,L
0,B
1.25,R
2,R
-3,L
-1,L
-0.333333,L
0,B
0.2,R
-2,L
0,B
0.666667,R
1,R
1.2,R
-1,L
1,R
1.666667,R
2,R
2.2,R
0,B
2,R
2.666667,R
3,R
3.2,R
1,R
3,R
3.666667,R
4,R
4.2,R
-7,L
-3,L
-1.666667,L
-1,L
-0.6,L
-6,L
-2,L
-0.666667,L
0,B
0.4,R
-5,L
-1,L
0.333333,R
1,R
1.4,R
-4,L
0,B
1.333333,R
2,R
2.4,R
-3,L
1,R
2.333333,R
3,R
3.4,R
-11,L
-5,L
-3,L
-2,L
-1.4,L
-10,L
-4,L
-2,L
-1,L
-0.4,L
-9,L
-3,L
-1,L
0,B
0.6,R
-8,L
-2,L
0,B
1,R
1.6,R
-7,L
-1,L
1,R
2,R
2.6,R
-15,L
-7,L
-4.333333,L
-3,L
-2.2,L
-14,L
-6,L
-3.333333,L
-2,L
-1.2,L
-13,L
-5,L
-2.333333,L
-1,L
-0.2,L
-12,L
-4,L
-1.333333,L
0,B
0.8,R
-11,L
-3,L
-0.333333,L
1,R
1.8,R
-19,L
-9,L
-5.666667,L
-4,L
-3,L
-18,L
-8,L
-4.666667,L
-3,L
-2,L
-17,L
-7,L
-3.666667,L
-2,L
-1,L
-16,L
-6,L
-2.666667,L
-1,L
0,B
-15,L
-5,L
-1.666667,L
0,B
1,R
-4,L
-1.5,L
-0.666667,L
-0.25,L
0,B
-3,L
-0.5,L
0.333333,R
0.75,R
1,R
-2,L
0.5,R
1.333333,R
1.75,R
2,R
-1,L
1.5,R
2.333333,R
2.75,R
3,R
0,B
2.5,R
3.333333,R
3.75,R
4,R
-9,L
-4,L
-2.333333,L
-1.5,L
-1,L
-8,L
-3,L
-1.333333,L
-0.5,L
0,B
-7,L
-2,L
-0.333333,L
0.5,R
1,R
-6,L
-1,L
0.666667,R
1.5,R
2,R
-5,L
0,B
1.666667,R
2.5,R
3,R
-14,L
-6.5,L
-4,L
-2.75,L
-2,L
-13,L
-5.5,L
-3,L
-1.75,L
-1,L
-12,L
-4.5,L
-2,L
-0.75,L
0,B
-11,L
-3.5,L
-1,L
0.25,R
1,R
-10,L
-2.5,L
0,B
1.25,R
2,R
-19,L
-9,L
-5.666667,L
-4,L
-3,L
-18,L
-8,L
-4.666667,L
-3,L
-2,L
-17,L
-7,L
-3.666667,L
-2,L
-1,L
-16,L
-6,L
-2.666667,L
-1,L
0,B
-15,L
-5,L
-1.666667,L
0,B
1,R
-24,L
-11.5,L
-7.333333,L
-5.25,L
-4,L
-23,L
-10.5,L
-6.333333,L
-4.25,L
-3,L
-22,L
-9.5,L
-5.333333,L
-3.25,L
-2,L
-21,L
-8.5,L
-4.333333,L
-2.25,L
-1,L
-20,L
-7.5,L
-3.333333,L
-1.25,L
0,B
